rank,faculty_name,institution,country_code,priority_bucket,grad_advisor_fit,advisor_competitiveness,focus_tags,why_research_now,first_action_for_theo,suggested_outreach_window,openalex_profile_url
1,Cayelan C. Carey,Virginia Tech,US,A - strongest fit,Strong (university advisor pipeline),Very high,forecasting; ecological_networks; ecosystem_modeling,"Recurring publication signal (25 matched works) in forecasting, ecological_networks, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5050269082
2,Otso Ovaskainen,University of Jyväskylä,FI,A - strongest fit,Strong (university advisor pipeline),Very high,joint_models; species_distribution,"Recurring publication signal (14 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5016339099
3,Antoine Guisan,University of Lausanne,CH,A - strongest fit,Strong (university advisor pipeline),Very high,species_distribution; remote_sensing; joint_models; ecosystem_modeling,"Recurring publication signal (13 matched works) in species_distribution, remote_sensing, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5041324397
4,Michael C. Dietze,Boston University,US,A - strongest fit,Strong (university advisor pipeline),Very high,forecasting; ecosystem_modeling,"Recurring publication signal (16 matched works) in forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5058192976
5,R. Quinn Thomas,Beth Israel Deaconess Medical Center,US,A - strongest fit,Lower (not a typical PhD advisor home),Moderate,forecasting,Recurring publication signal (27 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5010063173
6,Duccio Rocchini,Czech University of Life Sciences Prague,CZ,A - strongest fit,Strong (university advisor pipeline),Very high,species_distribution; remote_sensing,"Recurring publication signal (13 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5053455920
7,Wilfried Thuiller,Centre National de la Recherche Scientifique,FR,A - strongest fit,Possible (manual verification needed),High,species_distribution; food_webs; joint_models,"Recurring publication signal (14 matched works) in species_distribution, food_webs, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5072813166
8,Xiao Feng,University of North Carolina at Chapel Hill,US,A - strongest fit,Strong (university advisor pipeline),High,forecasting; species_distribution; bayesian_models,"Recurring publication signal (12 matched works) in forecasting, species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5080264402
9,Marta Coll,Consejo Superior de Investigaciones Científicas,ES,A - strongest fit,Possible (manual verification needed),Very high,food_webs; ecosystem_modeling; species_distribution,"Recurring publication signal (16 matched works) in food_webs, ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5019669154
10,Kathleen Kesner‐Reyes,University of the Philippines Los Baños,PH,B - high potential,Strong (university advisor pipeline),Moderate,ecological_networks,Recurring publication signal (20 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5036942111
11,Gianpaolo Coro,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,A - strongest fit,Possible (manual verification needed),High,ecological_networks; species_distribution,"Recurring publication signal (21 matched works) in ecological_networks, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5009188742
