opportunity_name,opportunity_type,priority_tier,status_as_of_2026_04_10,target_student_level,computational_theoretical_quantitative_flag,subfield_tags,date_start,date_end,deadline_or_next_action_date,location,delivery_mode,cost,free_or_online,recommended_action,why_it_looks_good,notes,source_url
Evolution 2026,conference; student support; presentation opportunity,1 - apply/present now,Open; participation support deadline is imminent,"undergraduate, graduate students, postdocs, faculty, researchers",Yes,evolutionary ecology; population genetics; phylogenetics; quantitative methods; modeling,2026-06-20,2026-06-24,2026-04-13: participation support; 2026-04-15: early registration rate deadline,"Cleveland, Ohio, USA",in person plus virtual components,"Official registration page lists graduate student in-person+virtual rates of USD 400 by 2026-04-15, USD 500 from 2026-04-16 to 2026-06-01, USD 550 after 2026-06-01; online-only student rate listed as USD 10.",Low-cost virtual option; participation support available by application,Apply for participation support by 2026-04-13 if eligible; otherwise consider the low-cost online option or register before 2026-04-15.,"Strong if his computational ecology interests touch evolution, population modeling, phylogenetics, or eco-evolutionary dynamics.",Online option is unusually cheap and still useful for CV/professional development if travel is not possible.,https://www.evolutionmeetings.org/registration.html
Gordon Research Seminar: Unifying Ecology Across Scales,graduate-student/postdoc seminar; presentation opportunity,1 - apply/present now,"Applications open until 2026-06-13, subject to available space",graduate students and postdocs,Yes,theoretical ecology; quantitative ecology; ecological models; mechanisms; data across scales,2026-07-11,2026-07-12,2026-06-13: application deadline,"Stonehill College, Easton, Massachusetts, USA",in person,"GRC page lists GRS conference fee USD 245, meals USD 250, lodging double occupancy USD 340 or private room USD 420.",Not free; selective early-career format,"Apply to the GRS and request to present a poster/talk if his work fits models, data, or cross-scale mechanisms.",A GRS is unusually strong for a master's student because it is designed around graduate-student presentation and peer networking.,Best paired with the following Gordon Research Conference if budget allows.,https://www.grc.org/unifying-ecology-across-scales-grs-conference/2026/
Gordon Research Conference: Unifying Ecology Across Scales,selective research conference; high-level networking,1 - apply/present now,"Applications open until 2026-06-14, subject to available space","graduate students, postdocs, faculty, researchers",Yes,theoretical ecology; models; data integration; scaling; mechanisms; ecosystem dynamics,2026-07-12,2026-07-17,2026-06-14: application deadline,"Stonehill College, Easton, Massachusetts, USA",in person,"GRC page lists conference fee USD 950, meals USD 690, lodging double occupancy USD 620 or private room USD 840.",Not free; application-based,Apply if he has a clear computational/theory interest and can write a focused statement of fit.,Small selective conference with concentrated access to senior quantitative and theoretical ecologists.,Expensive but high-signal if he can secure advisor/department support.,https://www.grc.org/unifying-ecology-across-scales-conference/2026/
European Conference on Mathematical and Theoretical Biology 2026 (ECMTB),international conference; mathematical biology; presentation opportunity,1 - apply/present now,Open; participation grant and early registration deadlines are near,"students, PhD students, postdocs, faculty, mathematical biology researchers",Yes,mathematical biology; theoretical ecology; population dynamics; modeling; computation,2026-07-13,2026-07-17,2026-04-15: participation grant deadline; 2026-04-30: early-bird registration deadline,"University of Graz, Graz, Austria",in person,Early-bird regular student EUR 420; regular student EUR 520; SMB/ESMTB member student EUR 320 early or EUR 420 regular. PhD-student rates are higher.,Participation grants available; not free by default,Apply for a participation grant by 2026-04-15 and register by 2026-04-30 if funded.,"Very strong signal for computational/theoretical ecology, especially for PhD programs that value mathematical modeling.",International travel cost is the main barrier; grant application is the key first step.,https://ecmtb2026.org/how-to-register
ESA Annual Meeting 2026,major ecology conference; workshops; networking; presentation opportunity,1 - apply/present now,"Open; abstract deadlines mostly passed, registration/workshop planning remains relevant","undergraduate, master's, PhD, postdoc, faculty, practitioner",Yes,ecology; quantitative ecology; theoretical ecology; remote sensing; spatial ecology; data science,2026-07-26,2026-07-31,"Check late-breaking poster, workshop, and student award deadlines on the ESA 2026 site","Salt Lake City, Utah, USA",in person,Registration rates were not found on the official pages checked; confirm on ESA registration page before committing.,Not free by default,"Attend if he can present, volunteer, join a section event, or target computational sessions; otherwise prioritize EFI/GRC/ECMTB first.",ESA is the flagship U.S. ecology meeting and makes ecology-grad-school networking much easier.,"Use this to meet potential PhD advisors, attend quantitative/theory section events, and ask about labs before applications.",https://esa.org/saltlake2026/important-dates/
Ecological Forecasting Initiative 2026 Conference,conference; student travel support; presentation opportunity,1 - apply/present now,Open; abstract and travel scholarship deadlines imminent,graduate students; early-career researchers; ecological forecasting community,Yes,ecological forecasting; Bayesian/statistical modeling; reproducible workflows; synthesis; data assimilation,2026-08-04,2026-08-07,2026-04-15: abstracts and travel scholarship applications close,"Toronto, Ontario, Canada",in person,Registration not posted on the source page checked; travel scholarships available by application.,Financial support available; not free by default,"Submit an abstract and travel scholarship application by 2026-04-15 if he has any model, forecast, or data-analysis result that can become a poster.","Directly signals computational ecology fit, puts him in the forecasting network, and can produce a poster line on the CV.",Highest-priority near-term target because it is specific to ecological forecasting and has a student support mechanism.,https://ecoforecast.org/efi-2026-conference/
NEON Data Skills Webinar: NEON Data in Google Earth Engine,webinar; technical skill builder,2 - strong if aligned,Upcoming online event,"students and researchers using NEON, remote sensing, or spatial data",Yes,NEON; Google Earth Engine; Python API; remote sensing; spatial ecology,2026-04-28,2026-04-28,Register before 2026-04-28 event,Online,online live webinar,No fee found on the NEON event page checked.,Online; appears free/no fee listed,Register and attend; turn the workflow into a small GitHub notebook using a NEON dataset.,A quick way to add a concrete remote-sensing/GEE skill relevant to computational ecology.,Small credential by itself; much stronger if paired with a reproducible mini-project.,https://www.neonscience.org/get-involved/events/data-skills-webinar-neon-data-google-earth-engine
ASLO-SIL 2026 Joint Meeting,aquatic sciences conference; student/ECR programming,2 - strong if aligned,"Upcoming; major abstract deadlines passed, student/ECR events remain relevant","students, early-career researchers, aquatic scientists",Yes,aquatic ecology; limnology; oceanography; ecological modeling; data science,2026-05-12,2026-05-16,"Check student/ECR events, mentor program, and late registration options","Montreal, Quebec, Canada",in person,Rates not captured from official page; confirm on ASLO registration materials.,Not free by default,Consider only if his work is aquatic/freshwater/marine or if he can use student/ECR networking strongly.,Strong domain-specific conference if computational ecology is tied to aquatic systems.,Student volunteer and mentor-program opportunities can improve value even if he is not presenting.,https://www.aslo.org/aslo-sil-2026/
iDigBio Digital Data 2026,virtual conference; biodiversity data,2 - strong if aligned,Upcoming virtual event; registration details coming soon on source page,"students, biodiversity-data researchers, collections/informatics community",Yes,biodiversity data; informatics; integrated data; collections data; open science,2026-06-02,2026-06-04,Monitor registration details; program and speakers coming soon,Online via Zoom,online virtual conference,Registration details were listed as coming soon; no cost posted on source page checked.,Online; cost not yet posted,Register when it opens and attend biodiversity-data methods sessions; look for poster or networking opportunities if offered.,"Good fit for computational biodiversity, data integration, and informatics-oriented ecology applications.",Online and likely lower-friction than travel conferences.,https://www.idigbio.org/content/digital-data-2026
System Dynamics Society Summer School 2026,online summer school; simulation modeling,2 - strong if aligned,Open; scholarship deadline imminent,"students, recent graduates, researchers, practitioners",Yes,system dynamics; simulation modeling; feedbacks; coupled human-natural systems; ecological models,2026-06-08,2026-07-09,2026-04-15: scholarship applications; 2026-06-14: registration deadline,Online,online asynchronous plus live sessions July 6-9,Regular USD 600; student USD 400; Society members receive USD 100 discount; scholarships available by application.,Online; scholarships available; not free by default,"Apply for scholarship by 2026-04-15 if his work involves feedback models, population dynamics, or socio-ecological systems.","Concrete modeling training with a certificate, useful for theory/modeling statements.","Frame it as ecological or socio-ecological modeling, not generic management training.",https://systemdynamics.org/summer-school/
